id,scientific_name,common_name,family,family_id,genus,class,order_name,authority,sis_id,inaturalist_id
332be9c5-d770-467f-886e-6de3832f521e,Buteo lagopus,Rough-legged Buzzard,ACCIPITRIDAE,ec774d8c-35e1-4c5e-9377-bafc9993000e,Buteo,AVES,ACCIPITRIFORMES,"(Pontoppidan, 1763)",22695973.0,
d62146cd-6c23-41ba-9014-77d099c546f7,Lynx canadensis,Canada Lynx,FELIDAE,03ab8bea-9ef2-447b-991a-adcf049b1739,Lynx,MAMMALIA,CARNIVORA,"Kerr, 1792",12518.0,
e77df55d-294b-431f-9b0f-1d2da69518f6,Balaenoptera physalus,Fin Whale,BALAENOPTERIDAE,a5ea12c5-fadd-4be7-82e0-579437b96284,Balaenoptera,MAMMALIA,ARTIODACTYLA,"(Linnaeus, 1758)",2478.0,
bb95896d-8a6c-4268-9f90-805dac6fca6d,Asio flammeus,Short-Eared Owl,Strigidae,5d3df499-f541-4008-922e-acca94a7bb9c,Asio,Aves,Strigiformes,,,
0ae6a6b2-65cf-402b-a500-347627b68c76,Leucogeranus leucogeranus,Siberian Crane,GRUIDAE,550ef6cf-5d18-452f-913e-b807532a7ecb,Leucogeranus,AVES,GRUIFORMES,"(Pallas, 1773)",22692053.0,
f2eae94d-b2f3-4023-906c-c3d8c1103c8e,Ziphius cavirostris,Cuvier's beaked whale,Ziphiidae,996cf3d2-7a40-48ea-ab25-c9809e43dc3a,Ziphius,Mammalia,Cetartiodactyla ,,,
266eeed0-3d6e-4f14-90be-72b74f8dce53,Lontra canadensis,North American River Otter,MUSTELIDAE,3b67ee7c-a7c1-4b00-baf6-9efe7c20e3c0,Lontra,MAMMALIA,CARNIVORA,"(Schreber, 1777)",12302.0,
a844b4b6-16a9-45f1-b901-48e3703919d3,Lagenorhynchus acutus,Atlantic White-sided Dolphin,Delphinidae,40747b7d-5595-4171-96c8-35991d74f8f9,Lagenorhynchus,Mammalia,Cetartiodactyla ,,,
286e0896-1b69-4de9-a5b2-6561d82443e6,Odobenus rosmarus,Walrus,ODOBENIDAE,f3e2c1ff-63f3-4c80-b2ba-121cf443e509,Odobenus,MAMMALIA,CARNIVORA,"(Linnaeus, 1758)",15106.0,
2e6cedd3-4179-4d39-b704-6388007a97f1,Nyctea scandiaca,Snowy Owl,STRIGIDAE,77b565ee-796d-4abe-8602-9442edfa0f4f,Bubo,AVES,STRIGIFORMES,"(Linnaeus, 1758)",22689055.0,
c2ab33a1-6ab1-462f-834d-840949fa9e43,Eschrichtius robustus,Gray whale,Eschrichtiidae,0aafad8a-0304-4cdc-a091-093907e46ab1,Eschrichtius,Mammalia,Cetartiodactyla ,,,
e37fba40-33e0-41c9-94cb-78fbb86ae48d,Enhydra lutris,Sea Otter,Mustelidae,a757f4ee-01ea-4644-b851-a4f76d840831,Enhydra,Mammalia,Carnivora,,,
8cc40499-d0d2-4b27-8c8b-4532e83290e1,Acipenser baerii,Siberian Sturgeon,Acipenseridae ,ead8e9d6-6ce9-4499-a812-d6c725f88813,Acipenser,Actinopterygii ,Acipenseriformes,,,
e6a764ef-196c-4eaa-8930-c7fa7d3beade,Alopias vulpinus,Common Thresher Shark,Alopiidae,b1f0e22e-52e2-454a-bae4-4555e5e70c29,Alopias,Chondrichthyes,Lamniformes,,,
50f9fb98-91fb-4278-b63e-8f288cac2a0b,Eubalaena japonica,North Pacfic Right Whale,Balaenidae,48ed9bb7-a0cb-4896-b02b-a629c01cf9cc,Eubalaena,Mammalia,Cetartiodactyla ,,,
2a4ef599-7108-48a4-a10a-1567b772f9d7,Berardius bairdii,Baird’s Beaked Whale,Ziphiidae,996cf3d2-7a40-48ea-ab25-c9809e43dc3a,Berardius,Mammalia,Cetartiodactyla ,,,
9b0b1518-f0ef-4e0f-b47d-5458564e909b,Globicephala melas,Long-finned Pilot Whale,Delphinidae,40747b7d-5595-4171-96c8-35991d74f8f9,Globicephala,Mammalia,Cetartiodactyla ,,,
68cb209a-b1a5-4cd2-9e56-d6efdf7e8d40,Hyperoodon ampullatus,Northern bottlenose whale,Ziphiidae,996cf3d2-7a40-48ea-ab25-c9809e43dc3a,Hyperoodon,Mammalia,Cetartiodactyla ,,,
4c39d371-3ee3-4ec3-b7e6-5763cf92dd94,Mesoplodon stejnegeri,Stejneger's beaked whale,Ziphiidae,996cf3d2-7a40-48ea-ab25-c9809e43dc3a,Mesoplodon,Mammalia,Cetartiodactyla ,,,
16707406-8a99-4f32-8e55-9ba732461777,Branta ruficollis,Red-breasted Goose ,Anatidae,f76b78cf-bc66-4e30-a926-175d90b126cb,Branta,Aves,Anseriformes,,,
743cc9b7-7e04-46a0-aa8f-94751b9eba3e,Lagenorhynchus albirostris,White-beaked Dolphin ,Delphinidae,40747b7d-5595-4171-96c8-35991d74f8f9,Lagenorhynchus,Mammalia,Artiodactyla,,,
95485512-67e7-4fad-a8f0-f76c17d03c1f,Megaptera novaeangliae,Humpback Whale,BALAENOPTERIDAE,a5ea12c5-fadd-4be7-82e0-579437b96284,Megaptera,MAMMALIA,ARTIODACTYLA,"(Borowski, 1781)",13006.0,
4c358cc2-d0d3-4a34-a3fe-bca2b85db100,Balaena mysticetus,Bowhead Whale,BALAENIDAE,e94b02fc-27d9-4f73-9cee-13a50b178514,Balaena,MAMMALIA,ARTIODACTYLA,"Linnaeus, 1758",2467.0,
506d9478-6bef-4116-8295-fd1ccc6292c6,Falco rusticolus,Gyrfalcon,FALCONIDAE,72e2ef53-318b-45ca-9e0f-3e6cfcdd69aa,Falco,AVES,FALCONIFORMES,"Linnaeus, 1758",22696500.0,
