COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Greenland,Common minke whale,Balaenoptera acutorostrata,2023,West,164,188
Greenland,Common minke whale,Balaenoptera acutorostrata,2023,East,18,24
Greenland,Common minke whale,Balaenoptera acutorostrata,2022,West,146,206
Greenland,Common minke whale,Balaenoptera acutorostrata,2022,East,17,21
Greenland,Common minke whale,Balaenoptera acutorostrata,2021,West,167,219
Greenland,Common minke whale,Balaenoptera acutorostrata,2021,East,21,22
Greenland,Common minke whale,Balaenoptera acutorostrata,2020,East,20,23
Greenland,Common minke whale,Balaenoptera acutorostrata,2020,West,162,216
Greenland,Common minke whale,Balaenoptera acutorostrata,2020,Total,182,239
Greenland,Common minke whale,Balaenoptera acutorostrata,2019,East,11,20
Greenland,Common minke whale,Balaenoptera acutorostrata,2019,West,160,164
Greenland,Common minke whale,Balaenoptera acutorostrata,2019,Total,171,184
Greenland,Common minke whale,Balaenoptera acutorostrata,2018,East,2,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2018,West,116,179
Greenland,Common minke whale,Balaenoptera acutorostrata,2018,Total,118,194
Greenland,Common minke whale,Balaenoptera acutorostrata,2017,East,10,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2017,West,133,179
Greenland,Common minke whale,Balaenoptera acutorostrata,2017,Total,143,194
Greenland,Common minke whale,Balaenoptera acutorostrata,2016,East,15,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2016,West,148,179
Greenland,Common minke whale,Balaenoptera acutorostrata,2016,Total,163,194
Greenland,Common minke whale,Balaenoptera acutorostrata,2015,East,6,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2015,West,133,179
Greenland,Common minke whale,Balaenoptera acutorostrata,2015,Total,139,194
Greenland,Common minke whale,Balaenoptera acutorostrata,2014,East,11,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2014,West,146,164
Greenland,Common minke whale,Balaenoptera acutorostrata,2014,Total,157,179
Greenland,Common minke whale,Balaenoptera acutorostrata,2013,East,6,12
Greenland,Common minke whale,Balaenoptera acutorostrata,2013,West,175,178
Greenland,Common minke whale,Balaenoptera acutorostrata,2013,Total,181,190
Greenland,Common minke whale,Balaenoptera acutorostrata,2012,East,4,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2012,West,148,183
Greenland,Common minke whale,Balaenoptera acutorostrata,2012,Total,152,198
Greenland,Common minke whale,Balaenoptera acutorostrata,2011,East,10,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2011,West,179,185
Greenland,Common minke whale,Balaenoptera acutorostrata,2011,Total,189,200
Greenland,Common minke whale,Balaenoptera acutorostrata,2010,East,9,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2010,West,187,193
Greenland,Common minke whale,Balaenoptera acutorostrata,2010,Total,196,208
Greenland,Common minke whale,Balaenoptera acutorostrata,2009,East,4,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2009,West,164,215
Greenland,Common minke whale,Balaenoptera acutorostrata,2009,Total,168,230
Greenland,Common minke whale,Balaenoptera acutorostrata,2008,East,1,12
Greenland,Common minke whale,Balaenoptera acutorostrata,2008,West,151,200
Greenland,Common minke whale,Balaenoptera acutorostrata,2008,Total,152,212
Greenland,Common minke whale,Balaenoptera acutorostrata,2007,East,2,15
Greenland,Common minke whale,Balaenoptera acutorostrata,2007,West,167,169
Greenland,Common minke whale,Balaenoptera acutorostrata,2007,Total,169,184
Greenland,Common minke whale,Balaenoptera acutorostrata,2006,East,3,14
Greenland,Common minke whale,Balaenoptera acutorostrata,2006,West,181,175
Greenland,Common minke whale,Balaenoptera acutorostrata,2006,Total,184,189
Greenland,Common minke whale,Balaenoptera acutorostrata,2005,East,4,12
Greenland,Common minke whale,Balaenoptera acutorostrata,2005,West,176,176
Greenland,Common minke whale,Balaenoptera acutorostrata,2005,Total,180,188
Greenland,Common minke whale,Balaenoptera acutorostrata,2004,East,11,10
Greenland,Common minke whale,Balaenoptera acutorostrata,2004,West,179,180
Greenland,Common minke whale,Balaenoptera acutorostrata,2004,Total,190,190
Greenland,Common minke whale,Balaenoptera acutorostrata,2003,East,14,12
Greenland,Common minke whale,Balaenoptera acutorostrata,2003,West,185,190
Greenland,Common minke whale,Balaenoptera acutorostrata,2003,Total,199,202
Greenland,Common minke whale,Balaenoptera acutorostrata,2002,East,10,10
Greenland,Common minke whale,Balaenoptera acutorostrata,2002,West,139,190
Greenland,Common minke whale,Balaenoptera acutorostrata,2002,Total,149,200
Greenland,Common minke whale,Balaenoptera acutorostrata,2001,East,17,12
Greenland,Common minke whale,Balaenoptera acutorostrata,2001,West,139,190
Greenland,Common minke whale,Balaenoptera acutorostrata,2001,Total,156,202
Greenland,Common minke whale,Balaenoptera acutorostrata,2000,East,10,10
Greenland,Common minke whale,Balaenoptera acutorostrata,2000,West,145,190
Greenland,Common minke whale,Balaenoptera acutorostrata,2000,Total,155,200
Greenland,Common minke whale,Balaenoptera acutorostrata,1999,East,15,14
Greenland,Common minke whale,Balaenoptera acutorostrata,1999,West,170,190
Greenland,Common minke whale,Balaenoptera acutorostrata,1999,Total,185,204
Greenland,Common minke whale,Balaenoptera acutorostrata,1998,East,10,12
Greenland,Common minke whale,Balaenoptera acutorostrata,1998,West,166,190
Greenland,Common minke whale,Balaenoptera acutorostrata,1998,Total,176,202
Greenland,Common minke whale,Balaenoptera acutorostrata,1997,East,14,14
Greenland,Common minke whale,Balaenoptera acutorostrata,1997,West,148,180
Greenland,Common minke whale,Balaenoptera acutorostrata,1997,Total,162,194
Greenland,Common minke whale,Balaenoptera acutorostrata,1996,East,12,15
Greenland,Common minke whale,Balaenoptera acutorostrata,1996,West,164,180
Greenland,Common minke whale,Balaenoptera acutorostrata,1996,Total,176,195
