COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Greenland,Fin whale,Balaenoptera physalus,2023,West,3,19
Greenland,Fin whale,Balaenoptera physalus,2022,West,3,19
Greenland,Fin whale,Balaenoptera physalus,2021,West,2,19
Greenland,Fin whale,Balaenoptera physalus,2020,West,3,19
Greenland,Fin whale,Balaenoptera physalus,2019,West,8,19
Greenland,Fin whale,Balaenoptera physalus,2018,West,7,19
Greenland,Fin whale,Balaenoptera physalus,2017,West,8,19
Greenland,Fin whale,Balaenoptera physalus,2016,West,10,19
Greenland,Fin whale,Balaenoptera physalus,2015,West,12,19
Greenland,Fin whale,Balaenoptera physalus,2014,West,12,19
Greenland,Fin whale,Balaenoptera physalus,2013,West,9,19
Greenland,Fin whale,Balaenoptera physalus,2012,West,5,10
Greenland,Fin whale,Balaenoptera physalus,2011,West,5,10
Greenland,Fin whale,Balaenoptera physalus,2010,West,6,10
Greenland,Fin whale,Balaenoptera physalus,2009,West,10,19
Greenland,Fin whale,Balaenoptera physalus,2008,West,14,19
Greenland,Fin whale,Balaenoptera physalus,2007,West,12,10
Greenland,Fin whale,Balaenoptera physalus,2006,West,10,10
Greenland,Fin whale,Balaenoptera physalus,2005,West,13,19
Greenland,Fin whale,Balaenoptera physalus,2004,West,13,19
Greenland,Fin whale,Balaenoptera physalus,2003,West,9,19
Greenland,Fin whale,Balaenoptera physalus,2002,West,13,19
Greenland,Fin whale,Balaenoptera physalus,2001,West,8,19
Greenland,Fin whale,Balaenoptera physalus,2000,West,7,19
Greenland,Fin whale,Balaenoptera physalus,1999,West,9,19
Greenland,Fin whale,Balaenoptera physalus,1998,West,11,19
Greenland,Fin whale,Balaenoptera physalus,1997,West,13,19
Greenland,Fin whale,Balaenoptera physalus,1996,West,19,19
Greenland,Fin whale,Balaenoptera physalus,1995,West,12,19
Greenland,Fin whale,Balaenoptera physalus,1994,West,22,19
Greenland,Fin whale,Balaenoptera physalus,1993,West,14,21
Greenland,Fin whale,Balaenoptera physalus,1992,West,22,21
Iceland,Fin whale,Balaenoptera physalus,2023,East Greenland - West Iceland,24,193
Iceland,Fin whale,Balaenoptera physalus,2022,East Greenland - West Iceland,148,193
Iceland,Fin whale,Balaenoptera physalus,2021,East Greenland - West Iceland,0,193
Iceland,Fin whale,Balaenoptera physalus,2020,East Greenland - West Iceland,0,161
Iceland,Fin whale,Balaenoptera physalus,2019,Iceland,0,161
Iceland,Fin whale,Balaenoptera physalus,2018,Iceland,146,161
Iceland,Fin whale,Balaenoptera physalus,2017,Iceland,0,175
Iceland,Fin whale,Balaenoptera physalus,2016,Iceland,0,146
Iceland,Fin whale,Balaenoptera physalus,2015,Iceland,155,171
Iceland,Fin whale,Balaenoptera physalus,2014,Iceland,137,154
Iceland,Fin whale,Balaenoptera physalus,2013,Iceland,134,154
Iceland,Fin whale,Balaenoptera physalus,2012,Iceland,0,154
Iceland,Fin whale,Balaenoptera physalus,2011,Iceland,0,154
Iceland,Fin whale,Balaenoptera physalus,2010,Iceland,148,150
Iceland,Fin whale,Balaenoptera physalus,2009,Iceland,125,150
Iceland,Fin whale,Balaenoptera physalus,2008,Iceland,0,
Iceland,Fin whale,Balaenoptera physalus,2007,Iceland,0,
Iceland,Fin whale,Balaenoptera physalus,2006,Iceland (EGI),7,
Iceland,Fin whale,Balaenoptera physalus,1992-2005,Iceland,0,
