COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Greenland,Beluga,Delphinapterus leucas,2023,Total,151,575
Greenland,Beluga,Delphinapterus leucas,2023,Qaanaaq,10,31
Greenland,Beluga,Delphinapterus leucas,2023,West,136,530
Greenland,Beluga,Delphinapterus leucas,2023,East,5,14
Greenland,Beluga,Delphinapterus leucas,2022,Total,233,595
Greenland,Beluga,Delphinapterus leucas,2022,West,151,509
Greenland,Beluga,Delphinapterus leucas,2022,East,28,30
Greenland,Beluga,Delphinapterus leucas,2022,Qaanaaq,54,56
Greenland,Beluga,Delphinapterus leucas,2021,North Water + West Greenland,306,608
Greenland,Beluga,Delphinapterus leucas,2020,North Water + West Greenland,189,593
Greenland,Beluga,Delphinapterus leucas,2019,Qaanaaq,,20
Greenland,Beluga,Delphinapterus leucas,2019,West,263,452
Greenland,Beluga,Delphinapterus leucas,2019,Total,263,472
Greenland,Beluga,Delphinapterus leucas,2018,Qaanaaq,5,22
Greenland,Beluga,Delphinapterus leucas,2018,West,208,320
Greenland,Beluga,Delphinapterus leucas,2018,Total,213,342
Greenland,Beluga,Delphinapterus leucas,2017,Qaanaaq,32,20
Greenland,Beluga,Delphinapterus leucas,2017,West,164,320
Greenland,Beluga,Delphinapterus leucas,2017,Total,196,340
Greenland,Beluga,Delphinapterus leucas,2016,Qaanaaq,16,20
Greenland,Beluga,Delphinapterus leucas,2016,West,187,320
Greenland,Beluga,Delphinapterus leucas,2016,Total,203,340
Greenland,Beluga,Delphinapterus leucas,2015,Qaanaaq,7,20
Greenland,Beluga,Delphinapterus leucas,2015,West,120,353
Greenland,Beluga,Delphinapterus leucas,2015,Total,127,373
Greenland,Beluga,Delphinapterus leucas,2014,Qaanaaq,31,20
Greenland,Beluga,Delphinapterus leucas,2014,West,240,385
Greenland,Beluga,Delphinapterus leucas,2014,Total,271,405
Greenland,Beluga,Delphinapterus leucas,2013,Qaanaaq,26,20
Greenland,Beluga,Delphinapterus leucas,2013,West,279,330
Greenland,Beluga,Delphinapterus leucas,2013,Total,305,350
Greenland,Beluga,Delphinapterus leucas,2012,Qaanaaq,24,20
Greenland,Beluga,Delphinapterus leucas,2012,West,187,450
Greenland,Beluga,Delphinapterus leucas,2012,Total,211,470
Greenland,Beluga,Delphinapterus leucas,2011,Qaanaaq,7,20
Greenland,Beluga,Delphinapterus leucas,2011,West,144,290
Greenland,Beluga,Delphinapterus leucas,2011,Total,151,310
Greenland,Beluga,Delphinapterus leucas,2010,Qaanaaq,1,20
Greenland,Beluga,Delphinapterus leucas,2010,West,148,290
Greenland,Beluga,Delphinapterus leucas,2010,Total,149,310
Greenland,Beluga,Delphinapterus leucas,2009/2010,Qaanaaq,16,20
Greenland,Beluga,Delphinapterus leucas,2009/2010,West,225,290
Greenland,Beluga,Delphinapterus leucas,2009/2010,Total,241,310
Greenland,Beluga,Delphinapterus leucas,2008/2009,Qaanaaq,50,20
Greenland,Beluga,Delphinapterus leucas,2008/2009,West,250,235
Greenland,Beluga,Delphinapterus leucas,2008/2009,Total,300,255
Greenland,Beluga,Delphinapterus leucas,2007/2008,Qaanaaq,6,20
Greenland,Beluga,Delphinapterus leucas,2007/2008,West,115,145
Greenland,Beluga,Delphinapterus leucas,2007/2008,Total,121,165
Greenland,Beluga,Delphinapterus leucas,2006/2007,Qaanaaq,14,20
Greenland,Beluga,Delphinapterus leucas,2006/2007,West,139,140
Greenland,Beluga,Delphinapterus leucas,2006/2007,Total,153,160
Greenland,Beluga,Delphinapterus leucas,2005/2006,Qaanaaq,2,20
Greenland,Beluga,Delphinapterus leucas,2005/2006,West,121,300
Greenland,Beluga,Delphinapterus leucas,2005/2006,Total,123,320
Greenland,Beluga,Delphinapterus leucas,2004/2005,Qaanaaq,2,20
Greenland,Beluga,Delphinapterus leucas,2004/2005,West,47,300
Greenland,Beluga,Delphinapterus leucas,2004/2005,Total,49,320
Greenland,Beluga,Delphinapterus leucas,2003,Qaanaaq,54,No quota
Greenland,Beluga,Delphinapterus leucas,2003,West,418,No quota
Greenland,Beluga,Delphinapterus leucas,2003,Total,472,No quota
Greenland,Beluga,Delphinapterus leucas,2002,Qaanaaq,0,No quota
Greenland,Beluga,Delphinapterus leucas,2002,West,399,No quota
Greenland,Beluga,Delphinapterus leucas,2002,Total,399,No quota
Greenland,Beluga,Delphinapterus leucas,2001,Qaanaaq,1,No quota
Greenland,Beluga,Delphinapterus leucas,2001,West,397,No quota
Greenland,Beluga,Delphinapterus leucas,2001,Total,398,No quota
Greenland,Beluga,Delphinapterus leucas,2000,Qaanaaq,4,No quota
Greenland,Beluga,Delphinapterus leucas,2000,West,606,No quota
Greenland,Beluga,Delphinapterus leucas,2000,Total,610,No quota
Greenland,Beluga,Delphinapterus leucas,1999,Total,493,No quota
Greenland,Beluga,Delphinapterus leucas,1998,Total,746,No quota
Greenland,Beluga,Delphinapterus leucas,1997,Total,577,No quota
Greenland,Beluga,Delphinapterus leucas,1996,Total,521,No quota
Greenland,Beluga,Delphinapterus leucas,1995,Total,606,No quota
Greenland,Beluga,Delphinapterus leucas,1994,Total,488,No quota
Greenland,Beluga,Delphinapterus leucas,1993,Total,475,No quota
Greenland,Beluga,Delphinapterus leucas,1992,Total,*No reported catches,No quota
