COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Faroe Islands,Long-finned pilot whale,Globicephala melas,2023,Faroe Islands,897,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2022,Faroe Islands,528,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2021,Faroe Islands,667,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2020,Faroe Islands,530,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2019,Faroe Islands,682,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2018,Faroe Islands,624,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2017,Faroe Islands,1203,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2016,Faroe Islands,295,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2015,Faroe Islands,501,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2014,Faroe Islands,48,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2013,Faroe Islands,1104,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2012,Faroe Islands,713,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2011,Faroe Islands,726,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2010,Faroe Islands,1107,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2009,Faroe Islands,310,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2008,Faroe Islands,0,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2007,Faroe Islands,633,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2006,Faroe Islands,856,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2005,Faroe Islands,302,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2004,Faroe Islands,1012,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2003,Faroe Islands,503,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2002,Faroe Islands,626,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2001,Faroe Islands,918,
Faroe Islands,Long-finned pilot whale,Globicephala melas,2000,Faroe Islands,588,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1999,Faroe Islands,608,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1998,Faroe Islands,815,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1997,Faroe Islands,1162,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1996,Faroe Islands,1556,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1995,Faroe Islands,228,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1994,Faroe Islands,1201,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1993,Faroe Islands,808,
Faroe Islands,Long-finned pilot whale,Globicephala melas,1992,Faroe Islands,1572,
Greenland,Long-finned pilot whale,Globicephala melas,2023,East,46,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2023,West,82,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2023,Total,128,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2022,Total,92,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2021,West,135,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2021,East,61,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2020,East,117,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2020,West,208,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2020,Total,225,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2019,East,178,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2019,West,127,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2019,Total,305,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2018,East,136,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2018,West,263,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2018,Total,399,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2017,East,67,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2017,West,317,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2017,Total,384,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2016,East,27,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2016,West,168,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2016,Total,195,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2015,East,6,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2015,West,277,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2015,Total,283,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2014,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2014,West,433,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2014,Total,433,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2013,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2013,West,316,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2013,Total,316,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2012,East,6,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2012,West,426,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2012,Total,432,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2011,East,2,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2011,West,272,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2011,Total,274,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2010,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2010,West,338,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2010,Total,338,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2009,East,1,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2009,West,237,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2009,Total,238,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2008,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2008,West,182,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2008,Total,182,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2007,East,20,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2007,West,268,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2007,Total,288,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2006,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2006,West,46,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2006,Total,46,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2005,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2005,West,345,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2005,Total,345,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2004,East,9,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2004,West,256,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2004,Total,265,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2003,East,9,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2003,West,186,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2003,Total,195,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2002,East,15,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2002,West,23,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2002,Total,38,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2001,East,1,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2001,West,61,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2001,Total,62,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2000,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2000,West,5,No quota
Greenland,Long-finned pilot whale,Globicephala melas,2000,Total,5,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1999,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1999,West,115,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1999,Total,115,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1998,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1998,West,365,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1998,Total,365,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1997,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1997,West,232,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1997,Total,232,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1996,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1996,West,71,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1996,Total,71,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1995,East,0,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1995,West,1,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1995,Total,1,No quota
Greenland,Long-finned pilot whale,Globicephala melas,1992-1994,Total,*No reported catches,No quota

