COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2023,North Atlantic,10,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2022,North Atlantic,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2021,North Atlantic,1423,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2020,North Atlantic,8,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2019,North Atlantic,8,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2018,Faroe Islands,256,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2017,Faroe Islands,488,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2016,Faroe Islands,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2015,Faroe Islands,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2014,Faroe Islands,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2013,Faroe Islands,430,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2012,Faroe Islands,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2011,Faroe Islands,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2010,Faroe Islands,14,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2009,Faroe Islands,170,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2008,Faroe Islands,1,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2007,Faroe Islands,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2006,Faroe Islands,622,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2005,Faroe Islands,312,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2004,Faroe Islands,333,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2003,Faroe Islands,186,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2002,Faroe Islands,773,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2001,Faroe Islands,546,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,2000,Faroe Islands,255,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1999,Faroe Islands,0,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1998,Faroe Islands,438,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1997,Faroe Islands,350,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1996,Faroe Islands,152,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1995,Faroe Islands,151,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1994,Faroe Islands,258,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1993,Faroe Islands,377,
Faroe Islands,Atlantic white-sided dolphin,Lagenorhynchus acutus,1992,Faroe Islands,47,

