COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Greenland,Humpback whale,Megaptera novaeangliae,2023,West,2,10
Greenland,Humpback whale,Megaptera novaeangliae,2022,West,2,10
Greenland,Humpback whale,Megaptera novaeangliae,2021,West,6,10
Greenland,Humpback whale,Megaptera novaeangliae,2020,West,1,10
Greenland,Humpback whale,Megaptera novaeangliae,2019,West,4,10
Greenland,Humpback whale,Megaptera novaeangliae,2018,West,6,12
Greenland,Humpback whale,Megaptera novaeangliae,2017,West,2,12
Greenland,Humpback whale,Megaptera novaeangliae,2016,West,5,12
Greenland,Humpback whale,Megaptera novaeangliae,2015,West,6,12
Greenland,Humpback whale,Megaptera novaeangliae,2014,West,7,12
Greenland,Humpback whale,Megaptera novaeangliae,2013,West,8,10
Greenland,Humpback whale,Megaptera novaeangliae,2012,West,10,10
Greenland,Humpback whale,Megaptera novaeangliae,2011,West,8,9
Greenland,Humpback whale,Megaptera novaeangliae,2010,West,9,9
Greenland,Humpback whale,Megaptera novaeangliae,1992-2009,West,*No reported catches,

