COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Greenland,Atlantic walrus,Odobenus rosmarus,2023,Baffin Bay,57,158
Greenland,Atlantic walrus,Odobenus rosmarus,2023,West Greenland-Southeast Baffin Bay (WGSBI),75,119
Greenland,Atlantic walrus,Odobenus rosmarus,2023,East Greenland,17,28
Greenland,Atlantic walrus,Odobenus rosmarus,2022,Baffin Bay,55,158
Greenland,Atlantic walrus,Odobenus rosmarus,2022,West Greenland-Southeast Baffin Bay (WGSBI),63,109
Greenland,Atlantic walrus,Odobenus rosmarus,2022,East Greenland,6,34
Greenland,Atlantic walrus,Odobenus rosmarus,2021,Baffin Bay,48,158
Greenland,Atlantic walrus,Odobenus rosmarus,2021,West Greenland,67,102
Greenland,Atlantic walrus,Odobenus rosmarus,2021,East Greenland,12,34
Greenland,Atlantic walrus,Odobenus rosmarus,2020,East Greenland,8,36
Greenland,Atlantic walrus,Odobenus rosmarus,2020,Baffin Bay,21,164
Greenland,Atlantic walrus,Odobenus rosmarus,2020,West Greenland-Southeast Baffin Bay,75,103
Greenland,Atlantic walrus,Odobenus rosmarus,2020,Total,104,303
Greenland,Atlantic walrus,Odobenus rosmarus,2019,East,7,18
Greenland,Atlantic walrus,Odobenus rosmarus,2019,Northwater,46,85
Greenland,Atlantic walrus,Odobenus rosmarus,2019,West,61,69
Greenland,Atlantic walrus,Odobenus rosmarus,2019,Total,114,172
Greenland,Atlantic walrus,Odobenus rosmarus,2018,East,10,18
Greenland,Atlantic walrus,Odobenus rosmarus,2018,Northwater,34,85
Greenland,Atlantic walrus,Odobenus rosmarus,2018,West,54,69
Greenland,Atlantic walrus,Odobenus rosmarus,2018,Total,98,172
Greenland,Atlantic walrus,Odobenus rosmarus,2017,East,3,18
Greenland,Atlantic walrus,Odobenus rosmarus,2017,Northwater,73,85
Greenland,Atlantic walrus,Odobenus rosmarus,2017,West,35,69
Greenland,Atlantic walrus,Odobenus rosmarus,2017,Total,111,172
Greenland,Atlantic walrus,Odobenus rosmarus,2016,East,9,18
Greenland,Atlantic walrus,Odobenus rosmarus,2016,Northwater,74,86
Greenland,Atlantic walrus,Odobenus rosmarus,2016,West,52,69
Greenland,Atlantic walrus,Odobenus rosmarus,2016,Total,135,173
Greenland,Atlantic walrus,Odobenus rosmarus,2015,East,4,18
Greenland,Atlantic walrus,Odobenus rosmarus,2015,Northwater,74,83
Greenland,Atlantic walrus,Odobenus rosmarus,2015,West,53,69
Greenland,Atlantic walrus,Odobenus rosmarus,2015,Total,131,170
Greenland,Atlantic walrus,Odobenus rosmarus,2014,East,8,18
Greenland,Atlantic walrus,Odobenus rosmarus,2014,Northwater,67,61
Greenland,Atlantic walrus,Odobenus rosmarus,2014,West,52,61
Greenland,Atlantic walrus,Odobenus rosmarus,2014,Total,127,140
Greenland,Atlantic walrus,Odobenus rosmarus,2013,East,8,18
Greenland,Atlantic walrus,Odobenus rosmarus,2013,Northwater,65,62
