COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Greenland,Killer whale,Orcinus orca,2023,East,8,No quota
Greenland,Killer whale,Orcinus orca,2023,West,27,No quota
Greenland,Killer whale,Orcinus orca,2023,Total,35,No quota
Greenland,Killer whale,Orcinus orca,2022,East,4,No quota
Greenland,Killer whale,Orcinus orca,2022,West,19,No quota
Greenland,Killer whale,Orcinus orca,2022,Total,23,No quota
Greenland,Killer whale,Orcinus orca,2021,West,30,No quota
Greenland,Killer whale,Orcinus orca,2021,East,10,No quota
Greenland,Killer whale,Orcinus orca,2020,East,3,No quota
Greenland,Killer whale,Orcinus orca,2020,West,26,No quota
Greenland,Killer whale,Orcinus orca,2020,Total,29,No quota
Greenland,Killer whale,Orcinus orca,2019,East,13,No quota
Greenland,Killer whale,Orcinus orca,2019,West,4,No quota
Greenland,Killer whale,Orcinus orca,2019,Total,17,No quota
Greenland,Killer whale,Orcinus orca,2018,East,12,No quota
Greenland,Killer whale,Orcinus orca,2018,West,9,No quota
Greenland,Killer whale,Orcinus orca,2018,Total,21,No quota
Greenland,Killer whale,Orcinus orca,2017,East,12,No quota
Greenland,Killer whale,Orcinus orca,2017,West,6,No quota
Greenland,Killer whale,Orcinus orca,2017,Total,18,No quota
Greenland,Killer whale,Orcinus orca,2016,East,2,No quota
Greenland,Killer whale,Orcinus orca,2016,West,12,No quota
Greenland,Killer whale,Orcinus orca,2016,Total,14,No quota
Greenland,Killer whale,Orcinus orca,2015,East,7,No quota
Greenland,Killer whale,Orcinus orca,2015,West,16,No quota
Greenland,Killer whale,Orcinus orca,2015,Total,23,No quota
Greenland,Killer whale,Orcinus orca,2014,East,6,No quota
Greenland,Killer whale,Orcinus orca,2014,West,10,No quota
Greenland,Killer whale,Orcinus orca,2014,Total,16,No quota
Greenland,Killer whale,Orcinus orca,2013,East,11,No quota
Greenland,Killer whale,Orcinus orca,2013,West,27,No quota
Greenland,Killer whale,Orcinus orca,2013,Total,38,No quota
Greenland,Killer whale,Orcinus orca,2012,East,12,No quota
Greenland,Killer whale,Orcinus orca,2012,West,32,No quota
Greenland,Killer whale,Orcinus orca,2012,Total,44,No quota
Greenland,Killer whale,Orcinus orca,2011,East,5,No quota
Greenland,Killer whale,Orcinus orca,2011,West,34,No quota
Greenland,Killer whale,Orcinus orca,2011,Total,39,No quota
Greenland,Killer whale,Orcinus orca,2010,East,1,No quota
Greenland,Killer whale,Orcinus orca,2010,West,14,No quota
Greenland,Killer whale,Orcinus orca,2010,Total,15,No quota
Greenland,Killer whale,Orcinus orca,2009,East,5,No quota
Greenland,Killer whale,Orcinus orca,2009,West,9,No quota
Greenland,Killer whale,Orcinus orca,2009,Total,14,No quota
Greenland,Killer whale,Orcinus orca,2008,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,2008,West,26,No quota
Greenland,Killer whale,Orcinus orca,2008,Total,26,No quota
Greenland,Killer whale,Orcinus orca,2007,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,2007,West,3,No quota
Greenland,Killer whale,Orcinus orca,2007,Total,3,No quota
Greenland,Killer whale,Orcinus orca,2006,East,0,No quota
Greenland,Killer whale,Orcinus orca,2006,West,N/A,No quota
Greenland,Killer whale,Orcinus orca,2006,Total,0,No quota
Greenland,Killer whale,Orcinus orca,2005,East,0,No quota
Greenland,Killer whale,Orcinus orca,2005,West,2,No quota
Greenland,Killer whale,Orcinus orca,2005,Total,2,No quota
Greenland,Killer whale,Orcinus orca,2004,East,2,No quota
Greenland,Killer whale,Orcinus orca,2004,West,12,No quota
Greenland,Killer whale,Orcinus orca,2004,Total,14,No quota
Greenland,Killer whale,Orcinus orca,2003,East,2,No quota
Greenland,Killer whale,Orcinus orca,2003,West,3,No quota
Greenland,Killer whale,Orcinus orca,2003,Total,5,No quota
Greenland,Killer whale,Orcinus orca,2002,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,2002,West,21,No quota
Greenland,Killer whale,Orcinus orca,2002,Total,21,No quota
Greenland,Killer whale,Orcinus orca,2001,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,2001,West,2,No quota
Greenland,Killer whale,Orcinus orca,2001,Total,2,No quota
Greenland,Killer whale,Orcinus orca,2000,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,2000,West,1,No quota
Greenland,Killer whale,Orcinus orca,2000,Total,1,No quota
Greenland,Killer whale,Orcinus orca,1999,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,1999,West,6,No quota
Greenland,Killer whale,Orcinus orca,1999,Total,6,No quota
Greenland,Killer whale,Orcinus orca,1998,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,1998,West,1,No quota
Greenland,Killer whale,Orcinus orca,1998,Total,1,No quota
Greenland,Killer whale,Orcinus orca,1997,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,1997,West,4,No quota
Greenland,Killer whale,Orcinus orca,1997,Total,4,No quota
Greenland,Killer whale,Orcinus orca,1996,East,N/A,No quota
Greenland,Killer whale,Orcinus orca,1996,West,3,No quota
Greenland,Killer whale,Orcinus orca,1996,Total,3,No quota
Greenland,Killer whale,Orcinus orca,1992-1995,Total,*No reported catches,No quota

