COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Faroe Islands,Harbour Porpoise,Phocoena phocoena,2019-2023,Faroe Islands,N/A,
Faroe Islands,Harbour Porpoise,Phocoena phocoena,2018,Faroe Islands,N/A,
Faroe Islands,Harbour Porpoise,Phocoena phocoena,1997-2017,Faroe Islands,N/A,
Faroe Islands,Harbour Porpoise,Phocoena phocoena,1996,Faroe Islands,3,
Faroe Islands,Harbour Porpoise,Phocoena phocoena,1992-1995,Faroe Islands,N/A,
Greenland,Harbour porpoise,Phocoena phocoena,2023,Total,3619,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2022,Total,3199,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2021,Total,2969,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2020,East,2,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2020,West,3329,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2020,Total,3331,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2019,East,4,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2019,West,2774,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2019,Total,2778,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2018,East,8,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2018,West,2882,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2018,Total,2890,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2017,East,6,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2017,West,2379,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2017,Total,2385,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2016,East,8,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2016,West,2372,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2016,Total,2380,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2015,East,6,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2015,West,2003,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2015,Total,2009,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2014,East,3,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2014,West,2555,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2014,Total,2558,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2013,East,3,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2013,West,2643,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2013,Total,2646,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2012,East,16,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2012,West,2369,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2012,Total,2385,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2011,East,9,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2011,West,2819,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2011,Total,2828,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2010,East,10,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2010,West,2083,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2010,Total,2093,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2009,East,,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2009,West,2029,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2009,Total,2029,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2008,East,1,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2008,West,1759,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2008,Total,1760,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2007,East,0,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2007,West,2912,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2007,Total,2912,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2006,East,1,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2006,West,2941,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2006,Total,2942,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2005,East,14,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2005,West,3200,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2005,Total,3214,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2004,East,18,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2004,West,2945,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2004,Total,2963,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2003,East,38,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2003,West,2287,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2003,Total,2325,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2002,East,2,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2002,West,2130,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2002,Total,2132,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2001,East,3,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2001,West,2213,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2001,Total,2216,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2000,East,N/A,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2000,West,1605,No quota
Greenland,Harbour porpoise,Phocoena phocoena,2000,Total,1605,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1999,East,N/A,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1999,West,1830,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1999,Total,1830,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1998,East,N/A,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1998,West,2131,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1998,Total,2131,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1997,East,1,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1997,West,1592,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1997,Total,1593,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1996,East,N/A,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1996,West,1822,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1996,Total,1822,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1995,East,N/A,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1995,West,1427,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1995,Total,1427,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1994,East,71,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1994,West,1663,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1994,Total,1734,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1993,East,83,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1993,West,1638,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1993,Total,1721,No quota
Greenland,Harbour porpoise,Phocoena phocoena,1992,Total,*No reported catches,No quota

